horizon_days,target,cell,selected_algorithm,n_train,n_test,RMSE,MAE,R2,NSE,KGE,R2_reference_learner
30,sd,9,XGBoost,19321,4018,0.05539254213803199,0.02977566234767437,0.8660413026809692,0.8660413026809692,0.8663252261686533,0.8660413026809692
30,sd,10,XGBoost,19321,4018,0.0533308866691384,0.028412574902176857,0.8807481527328491,0.8807481527328491,0.8795016844744854,0.8807481527328491
30,sd,11,XGBoost,19321,4018,0.05660587510896362,0.0288544949144125,0.8136772513389587,0.8136772513389587,0.8382736748544103,0.8136772513389587
30,sd,12,XGBoost,19321,4018,0.05725463660279839,0.02892802096903324,0.7998641729354858,0.7998641729354858,0.8282319557443273,0.7998641729354858
30,sd,13,XGBoost,19321,4018,0.05905311050030303,0.029954828321933746,0.7955547571182251,0.7955547571182251,0.8206801611014499,0.7955547571182251
30,sd,14,XGBoost,19321,4018,0.05873966327747935,0.030515266582369804,0.8218536972999573,0.8218536972999573,0.8379738001499025,0.8218536972999573
30,sd,15,XGBoost,19321,4018,0.06069406377026073,0.03183995187282562,0.8384191393852234,0.8384191393852234,0.8470436197001681,0.8384191393852234
30,sd,16,XGBoost,19321,4018,0.05650452590085723,0.028851404786109924,0.8319361209869385,0.8319361209869385,0.8517981385610632,0.8319361209869385
30,sd,17,XGBoost,19321,4018,0.05710323686267804,0.02894238382577896,0.8201352953910828,0.8201352953910828,0.8444904191469711,0.8201352953910828
30,sd,18,XGBoost,19321,4018,0.057475011594380405,0.030084947124123573,0.833688497543335,0.833688497543335,0.8420263065529775,0.833688497543335
30,sd,19,XGBoost,19321,4018,0.06092807722904708,0.03210403025150299,0.8445369005203247,0.8445369005203247,0.8445107890402339,0.8445369005203247
30,sd,20,XGBoost,19321,4018,0.06380606009617339,0.033697083592414856,0.8511873483657837,0.8511873483657837,0.8585350394361638,0.8511873483657837
30,sd,21,XGBoost,19321,4018,0.0604041208643379,0.03151330351829529,0.8504229784011841,0.8504229784011841,0.8728755211123607,0.8504229784011841
30,sd,22,XGBoost,19321,4018,0.05749736870570775,0.030001550912857056,0.856379508972168,0.856379508972168,0.8797859317922748,0.856379508972168
30,sd,23,XGBoost,19321,4018,0.05241472446349441,0.02739582769572735,0.8721754550933838,0.8721754550933838,0.8795973453136299,0.8721754550933838
30,sd,24,XGBoost,19321,4018,0.04798032505250224,0.024932147935032845,0.8584702610969543,0.8584702610969543,0.8627316635248427,0.8584702610969543
30,sd,25,XGBoost,19321,4018,0.041304878254896045,0.02116188034415245,0.8207409381866455,0.8207409381866455,0.8344922103416631,0.8207409381866455
30,sd,26,XGBoost,19321,4018,0.05914516464936278,0.03183528408408165,0.894189715385437,0.894189715385437,0.8878430941835936,0.894189715385437
30,sd,27,XGBoost,19321,4018,0.057921949250456906,0.031104419380426407,0.8828505277633667,0.8828505277633667,0.879325445873093,0.8828505277633667
30,sd,28,XGBoost,19321,4018,0.058284018373449105,0.030891941860318184,0.8763220310211182,0.8763220310211182,0.8742417938962808,0.8763220310211182
30,sd,29,XGBoost,19321,4018,0.058491122252647604,0.03131510689854622,0.8930232524871826,0.8930232524871826,0.8813228546441123,0.8930232524871826
30,sd,30,XGBoost,19321,4018,0.057844737044367225,0.03239788860082626,0.9131611585617065,0.9131611585617065,0.8965101056348236,0.9131611585617065
30,sd,31,XGBoost,19321,4018,0.05886636140151329,0.03299999609589577,0.9039567708969116,0.9039567708969116,0.8873373231073638,0.9039567708969116
30,sd,32,XGBoost,19321,4018,0.05764069724110735,0.03126867488026619,0.8799349069595337,0.8799349069595337,0.8766329539423134,0.8799349069595337
30,sd,33,XGBoost,19321,4018,0.055967293459050924,0.030533086508512497,0.8826532363891602,0.8826532363891602,0.8638351959790316,0.8826532363891602
30,sd,34,XGBoost,19321,4018,0.059494632973131345,0.032093387097120285,0.8830629587173462,0.8830629587173462,0.8628805739188403,0.8830629587173462
30,sd,35,XGBoost,19321,4018,0.05787253573073079,0.03159512206912041,0.879852831363678,0.879852831363678,0.8668651621554264,0.879852831363678
30,sd,36,XGBoost,19321,4018,0.052720123148906235,0.02794654853641987,0.8757911324501038,0.8757911324501038,0.879252369992063,0.8757911324501038
30,sd,37,XGBoost,19321,4018,0.048259007652950665,0.02494422346353531,0.8700456023216248,0.8700456023216248,0.8787714274770566,0.8700456023216248
30,sd,38,XGBoost,19321,4018,0.0439910465257476,0.023059681057929993,0.8733256459236145,0.8733256459236145,0.8813165256905849,0.8733256459236145
30,sd,39,XGBoost,19321,4018,0.06496955146955749,0.03636875003576279,0.9093705415725708,0.9093705415725708,0.8967748818837168,0.9093705415725708
30,sd,40,XGBoost,19321,4018,0.06512524104760163,0.03470733389258385,0.8956207633018494,0.8956207633018494,0.894466888912594,0.8956207633018494
30,sd,41,XGBoost,19321,4018,0.061284255020962124,0.03307022899389267,0.8941000699996948,0.8941000699996948,0.8829428156264222,0.8941000699996948
30,sd,42,XGBoost,19321,4018,0.06205465865095501,0.03368492051959038,0.9008996486663818,0.9008996486663818,0.8921046306635364,0.9008996486663818
30,sd,43,XGBoost,19321,4018,0.0627064833092244,0.034617356956005096,0.9104851484298706,0.9104851484298706,0.9029257234846791,0.9104851484298706
30,sd,44,XGBoost,19321,4018,0.06326936136232222,0.03458327427506447,0.9109722375869751,0.9109722375869751,0.9037041739988759,0.9109722375869751
30,sd,45,XGBoost,19321,4018,0.06158977481939557,0.033165160566568375,0.90888911485672,0.90888911485672,0.9071271607804823,0.90888911485672
30,sd,46,XGBoost,19321,4018,0.06017430718760651,0.03295343741774559,0.898743748664856,0.898743748664856,0.892116154200041,0.898743748664856
30,sd,47,XGBoost,19321,4018,0.05678848583098151,0.03031298890709877,0.8870853781700134,0.8870853781700134,0.8824240923974307,0.8870853781700134
