year,snowc,sd,smlt_mm,t2m_C_bc,snw_mm_raw,model,scenario
2029,48.088837,0.14992994,998.0566,6.166395072676149,2.82148,canesm5_canoe,SSP2-4.5
2030,47.393585,0.17759867,776.77356,5.917251982887753,1.3534994,canesm5_canoe,SSP2-4.5
2031,42.340458,0.15111865,767.80975,6.330995407666261,1.102257,canesm5_canoe,SSP2-4.5
2032,49.689957,0.15984066,1102.2281,6.263833996444661,2.9442627,canesm5_canoe,SSP2-4.5
2033,43.465847,0.12672304,882.46124,6.899247246211755,2.8617928,canesm5_canoe,SSP2-4.5
2034,47.409725,0.14681153,837.6578,5.733410892379694,6.812439,canesm5_canoe,SSP2-4.5
2035,46.913868,0.15881936,868.4499,6.794985091653509,6.8802032,canesm5_canoe,SSP2-4.5
2036,43.978878,0.15202776,934.3095,7.285565749811646,1.0426551,canesm5_canoe,SSP2-4.5
2037,42.67378,0.14167567,793.509,7.154352661905154,0.8907681,canesm5_canoe,SSP2-4.5
2038,46.88088,0.1619706,885.8512,6.689220510389468,2.0753222,canesm5_canoe,SSP2-4.5
2039,46.74178,0.13202718,795.0745,5.671101870793731,2.879199,canesm5_canoe,SSP2-4.5
2040,45.72379,0.14316429,770.2355,6.775333701904653,1.9109793,canesm5_canoe,SSP2-4.5
2041,44.873806,0.14126986,1022.01337,6.79604943488204,2.0834858,canesm5_canoe,SSP2-4.5
2042,46.42787,0.11821558,981.00366,6.645651272856679,3.7230997,canesm5_canoe,SSP2-4.5
2043,44.770267,0.14915283,786.252,7.331247685531566,2.442643,canesm5_canoe,SSP2-4.5
2044,40.396008,0.12935989,801.822,7.965477144729885,1.8789543,canesm5_canoe,SSP2-4.5
2045,44.868164,0.13250543,827.19403,6.910224539174184,2.3511975,canesm5_canoe,SSP2-4.5
2046,41.35589,0.1080934,824.82367,6.471464259027481,1.2670561,canesm5_canoe,SSP2-4.5
2047,38.77931,0.15381448,877.4393,7.247454697854042,0.5255826,canesm5_canoe,SSP2-4.5
