horizon_days,target,method,RMSE,MAE,R2,NSE,KGE,RMSE_ci_low,RMSE_ci_high,R2_ci_low,R2_ci_high,block_len_days,bootstrap_draws
30,snowc,Exponential smoothing,38.25848050120127,16.51440736014624,0.38676501891503057,0.38676501891503057,0.693384840643811,34.20812638293614,42.3863309745308,0.2450617229872947,0.5116301012984052,11,2000
30,snowc,"SARIMAX(3, 0, 1) with Fourier seasonality",22.286010224753753,16.575192947164176,0.7919172222054722,0.7919172222054722,0.8392843484110406,20.608883540347737,24.008392178578646,0.7558124978828119,0.822683452237099,11,2000
30,sd,CryoSENSE-HK (XGBoost),0.061243669039281017,0.033662762206491954,0.9099102382734571,0.9099102382734571,0.9052978732450527,0.05053171656527613,0.07103030778190159,0.8672289523858707,0.9386883167503249,25,2000
30,sd,Persistence (issue-day t),0.15138469602435967,0.08572397964212762,0.4495511322459731,0.4495511322459731,0.7247510356162459,0.12579419674730416,0.17898519445049912,0.15456488814883457,0.6374641756966426,25,2000
30,sd,Training target-DOY climatology,0.1200604052452885,0.06589877777850542,0.653779605965098,0.653779605965098,0.695164652742424,0.0964339981582038,0.14282223060650864,0.47613360196616794,0.7712430937273239,25,2000
30,sd,Lagged linear regression,0.1134026936437997,0.08356467164139507,0.6911128957039012,0.6911128957039012,0.781259532076751,0.09992602832731538,0.1278315840994577,0.5858997637942747,0.7635572024788525,25,2000
30,sd,Seasonal AR with annual harmonics,0.08879911805508311,0.06038321087478258,0.8106042011435082,0.8106042011435082,0.8662669932802886,0.07764134352290498,0.09954571348594965,0.7422970405312382,0.8552706979341123,25,2000
30,sd,Exponential smoothing,0.15158024625251426,0.08585880702710466,0.44812813604607926,0.44812813604607926,0.7240288350746414,0.1241765818691805,0.17933476778733792,0.1310248816774478,0.6415306111242033,25,2000
30,sd,"SARIMAX(3, 0, 1) with Fourier seasonality",0.09848406166237704,0.06976139971408915,0.7670380787713074,0.7670380787713074,0.8763886253379682,0.0857857961665623,0.11157370133859268,0.6653411735584215,0.8259133190757897,25,2000
30,smlt_mm,CryoSENSE-HK (XGBoost),2.636796804483949,0.977342813439055,0.7285713738343147,0.7285713738343147,0.7804798217128364,2.263561752281134,2.9919846455320336,0.6271843121507964,0.7975356626328202,10,2000
30,smlt_mm,Persistence (issue-day t),6.726761413230974,2.7929096913760514,-0.766502960715814,-0.766502960715814,0.11679723677508769,5.903367579188548,7.556373171872023,-1.422615953721774,-0.3762600389719825,10,2000
30,smlt_mm,Training target-DOY climatology,3.876038062639891,1.5764334484283955,0.41348599414635623,0.41348599414635623,0.6100356153381843,3.32183266882676,4.4361847507744345,0.2008839218069639,0.561775662990053,10,2000
30,smlt_mm,Lagged linear regression,4.980261007941265,3.0553576415370753,0.03170758635263826,0.03170758635263826,-0.10598548638133543,4.266854821765965,5.679200042117749,-0.025760016080426263,0.0713472790972031,10,2000
30,smlt_mm,Seasonal AR with annual harmonics,3.9503321835804557,2.6086147078947683,0.3907864487848808,0.3907864487848808,0.4977364106541402,3.554142587972142,4.354668394639022,0.2537262522038443,0.47661179597617054,10,2000
30,smlt_mm,Exponential smoothing,6.301018509918776,3.1758943224196243,-0.549971925586501,-0.549971925586501,-0.07942717309837466,5.607992846847886,6.983279146393104,-0.9001499892289382,-0.328639071603938,10,2000
30,smlt_mm,"SARIMAX(3, 0, 1) with Fourier seasonality",3.922484480264017,2.5480732145179457,0.3993454254548897,0.3993454254548897,0.46238193281212314,3.5168838942705887,4.346312649640219,0.2628692874184051,0.48066083374397284,10,2000
30,smlt_mm,"Degree-day, climatological target-date T",4.674327323877379,2.429776078203597,0.14701663207228743,0.14701663207228743,0.1378220287929851,4.087496873267895,5.271279104160339,0.06805137987123476,0.19167955680075047,10,2000
