horizon_days,target,cell,selected_algorithm,n_train_local,n_test_local,RMSE_local,MAE_local,R2_local,NSE_local,KGE_local,R2_reference_learner,algorithm,n_train_cells,n_train_transfer,n_test_transfer,RMSE_transfer,MAE_transfer,R2_transfer,NSE_transfer,KGE_transfer,R2_transfer_loss,R2_learner_gap
1,snowc,16,Random Forest,19350,4018,4.915682959263177,1.101547578297408,0.9879605944376152,0.987960593181042,0.9927789305121486,0.9868868589401244,XGBoost,81,1567350,4018,4.729172268274605,1.1380506753921509,0.988856852054596,0.98885685,0.9925186504941728,-0.0019699931144715466,0.0010737354974907909
1,snowc,17,Random Forest,19350,4018,5.125690415717775,1.097789239565692,0.9870253851315464,0.9870253859379846,0.9920407428511924,0.9864099025726318,XGBoost,81,1567350,4018,4.911486898307486,1.1288955211639404,0.9880871772766112,0.9880872,0.9920896749956704,-0.0016772747039793812,0.0006154825589145263
1,snowc,18,Random Forest,19350,4018,4.828702255039461,1.0594543656011577,0.9885706653561736,0.9885706663473128,0.992914173642114,0.9873170256614684,XGBoost,81,1567350,4018,4.867426540327885,1.1217832565307615,0.9883866310119628,0.98838663,0.9921961630882826,-0.0010696053504943848,0.0012536396947051553
1,snowc,19,Random Forest,19350,4018,4.7235430452214615,1.0276988832771066,0.9894302270445272,0.9894302260705335,0.9936238044421946,0.9885250329971312,XGBoost,81,1567350,4018,4.677896860760933,1.0627340078353882,0.9896335005760192,0.9896335,0.9929872141781724,-0.0011084675788879395,0.0009051940473959741
1,snowc,20,Random Forest,19350,4018,4.472100949469771,0.932564262487428,0.9908828680882076,0.9908828686723118,0.994415757291591,0.9904338121414183,XGBoost,81,1567350,4018,4.576136238457592,1.0096940994262695,0.9904537200927734,0.9904537,0.9934372540799318,-1.990795135509149e-05,0.0004490559467892341
1,snowc,21,Random Forest,19350,4018,4.602813196610506,1.0211313778342272,0.990252424531832,0.9902524246098612,0.9939662544608436,0.9892960786819458,XGBoost,81,1567350,4018,4.753715868658594,1.0652705430984497,0.98960280418396,0.9896028,0.9932519714769448,-0.00030672550201416016,0.000956345849886242
1,snowc,22,Random Forest,19350,4018,4.731204625901009,1.04162781949815,0.9898447499839182,0.989844750858136,0.9936148710631182,0.9893900752067566,XGBoost,81,1567350,4018,4.763880275845812,1.0533193349838257,0.9897040128707886,0.989704,0.9929638801304734,-0.0003139376640319824,0.0004546747771616566
1,snowc,23,Random Forest,19350,4018,4.701035504558472,1.0360496119825156,0.990044162815198,0.9900441644451538,0.9931701367469384,0.989782214164734,XGBoost,81,1567350,4018,4.6502517878135885,1.0292718410491943,0.9902580976486206,0.9902581,0.9926522734679482,-0.00047588348388660773,0.0002619486504640278
1,snowc,24,Random Forest,19350,4018,4.838418784823806,1.1428625062232645,0.9889181255723472,0.9889181245818738,0.993418420358286,0.98858642578125,XGBoost,81,1567350,4018,4.92147505815552,1.1875652074813845,0.9885343909263612,0.9885344,0.9907284365604724,5.203485488880499e-05,0.00033169979109715086
1,snowc,25,Random Forest,19350,4018,5.31501580411549,1.3231219286505596,0.9855461145425772,0.9855461133548304,0.9915530959065818,0.985421061515808,XGBoost,81,1567350,4018,5.255710402652324,1.39085853099823,0.9858668446540833,0.98586684,0.990993302961025,-0.0004457831382752575,0.00012505302676923957
