horizon_days,target,target_col,feature_group,rank,feature,MI_training,selected
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,20,t2m_C_lag7,0.3094984795135467,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,21,sd_lag7,0.2875773856018311,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,22,sshf_W,0.26692573788137075,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,23,net_radiation_W,0.2557949480555681,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,24,ssro_mm,0.22091573173441326,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,25,snowc_lag7,0.20333661415770532,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,26,e_mm,0.15579598073168377,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,27,slhf_W,0.14567468646542991,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,28,d2m_C,0.09783714144056788,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,29,ssrd_W,0.07460644743483869,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,30,ws,0.04497453296372278,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,31,strd_W,0.044593361084649175,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,32,sf_mm,0.03763468947807702,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,33,sf_mm_lag1,0.0355279484349289,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,34,tp_mm,0.029612532913414924,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,35,sf_mm_lag3,0.029069089453276575,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,36,sp_hPa,0.02728161832580156,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,37,tp_mm_lag7,0.024429406682062726,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,38,tp_mm_lag1,0.0241005958280871,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,39,tp_mm_lag3,0.019471670489330073,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,40,sf_mm_lag7,0.01836438827620146,False
7,snowc,snowc_h7,A_atmosphere_energy,1,doy_cos,0.7024842064114996,True
7,snowc,snowc_h7,A_atmosphere_energy,2,doy_sin,0.6924732096304576,True
7,snowc,snowc_h7,A_atmosphere_energy,3,t2m_C,0.6605003572120456,True
7,snowc,snowc_h7,A_atmosphere_energy,4,sshf_W,0.6488792485116015,True
7,snowc,snowc_h7,A_atmosphere_energy,5,net_radiation_W,0.5197292320615681,True
7,snowc,snowc_h7,A_atmosphere_energy,6,e_mm,0.5196929646431929,True
7,snowc,snowc_h7,A_atmosphere_energy,7,slhf_W,0.5075426774498801,True
7,snowc,snowc_h7,A_atmosphere_energy,8,d2m_C,0.2731049691148435,True
7,snowc,snowc_h7,A_atmosphere_energy,9,ssrd_W,0.2423624820272714,True
7,snowc,snowc_h7,A_atmosphere_energy,10,strd_W,0.1997671098169782,True
7,snowc,snowc_h7,A_atmosphere_energy,11,sp_hPa,0.19487113989283245,True
7,snowc,snowc_h7,A_atmosphere_energy,12,ws,0.18340596226154915,True
7,snowc,snowc_h7,A_atmosphere_energy,13,tp_mm,0.09365919655015897,False
7,snowc,snowc_h7,B_atmosphere_snowfall_memory,1,sd_lag0,0.7306445127619741,True
7,snowc,snowc_h7,B_atmosphere_snowfall_memory,2,snowc_lag0,0.7145760690295964,True
7,snowc,snowc_h7,B_atmosphere_snowfall_memory,3,doy_cos,0.7101413998515147,True
7,snowc,snowc_h7,B_atmosphere_snowfall_memory,4,doy_sin,0.694852055877937,True
7,snowc,snowc_h7,B_atmosphere_snowfall_memory,5,sd_lag1,0.6929745454227776,True
7,snowc,snowc_h7,B_atmosphere_snowfall_memory,6,snowc_lag1,0.6875818466765287,True
7,snowc,snowc_h7,B_atmosphere_snowfall_memory,7,t2m_C_lag7,0.687113272844476,False
7,snowc,snowc_h7,B_atmosphere_snowfall_memory,8,t2m_C_lag3,0.6758526292983067,False
7,snowc,snowc_h7,B_atmosphere_snowfall_memory,9,t2m_C_lag1,0.6650334162030109,False
7,snowc,snowc_h7,B_atmosphere_snowfall_memory,10,t2m_C,0.6608607494724055,False
7,snowc,snowc_h7,B_atmosphere_snowfall_memory,11,sshf_W,0.6496607280938367,False
7,snowc,snowc_h7,B_atmosphere_snowfall_memory,12,sd_lag3,0.6452302801903462,False
7,snowc,snowc_h7,B_atmosphere_snowfall_memory,13,snowc_lag3,0.6321712407061995,False
7,snowc,snowc_h7,B_atmosphere_snowfall_memory,14,sd_lag7,0.5768475932146551,False
7,snowc,snowc_h7,B_atmosphere_snowfall_memory,15,snowc_lag7,0.5664539702516098,False
