horizon_days,target,cell,algorithm,n_train_cells,n_train,n_test,RMSE,MAE,R2,NSE,KGE
1,sd,40,XGBoost,81,1567350,4018,0.006377448834734081,0.002783222356811166,0.9989990592002869,0.99899906,0.9988654653634668
1,sd,41,XGBoost,81,1567350,4018,0.006007743700731686,0.002673887647688389,0.998982310295105,0.9989823,0.9982619625870337
1,sd,42,XGBoost,81,1567350,4018,0.006385993214085909,0.0028915719594806433,0.9989504814147949,0.9989505,0.9960056940554852
1,sd,43,XGBoost,81,1567350,4018,0.006724416507738341,0.002953599439933896,0.998970627784729,0.9989706,0.9958193617657014
1,sd,44,XGBoost,81,1567350,4018,0.006813577394428282,0.002968513173982501,0.9989675283432007,0.9989675,0.9953114698426377
1,sd,45,XGBoost,81,1567350,4018,0.0062838523401759685,0.002810367150232196,0.999051570892334,0.9990516,0.9985529427705948
1,sd,46,XGBoost,81,1567350,4018,0.0059353765842249,0.002682067221030593,0.9990148544311523,0.99901485,0.9960122738781699
1,sd,47,XGBoost,81,1567350,4018,0.005062097881460878,0.002368797082453966,0.999102771282196,0.9991028,0.9977802834616891
1,sd,48,XGBoost,81,1567350,4018,0.004700456867531009,0.0022359422873705626,0.9990782141685486,0.9990782,0.9974622167969427
1,sd,49,XGBoost,81,1567350,4018,0.00433832641493599,0.0020714025013148785,0.9989586472511292,0.99895865,0.9951908814582762
1,sd,50,XGBoost,81,1567350,4018,0.0039438975071433725,0.0018940018489956856,0.9988480806350708,0.9988481,0.9930814592857828
1,sd,51,XGBoost,81,1567350,4018,0.006320506444404816,0.0028655771166086197,0.9990018606185913,0.99900186,0.9965589920354241
1,sd,52,XGBoost,81,1567350,4018,0.006071617098849932,0.002730539534240961,0.9990017414093018,0.99900174,0.9973865568582667
1,sd,53,XGBoost,81,1567350,4018,0.005576508448930995,0.0026766310911625624,0.9990857243537903,0.9990857,0.9985079480310978
1,sd,54,XGBoost,81,1567350,4018,0.005286168991690841,0.002523521427065134,0.9991217255592346,0.9991217,0.9982575174604068
1,sd,55,XGBoost,81,1567350,4018,0.005191337682319259,0.0024454467929899693,0.9991757869720459,0.9991758,0.9982015172736463
1,sd,56,XGBoost,81,1567350,4018,0.005165168241955704,0.002426847582682967,0.9991682767868042,0.9991683,0.9992912255563527
1,sd,57,XGBoost,81,1567350,4018,0.004881085336213246,0.0023353490978479385,0.9991838335990906,0.99918383,0.998974980817095
1,sd,58,XGBoost,81,1567350,4018,0.0046757779355423796,0.002245837589725852,0.99910968542099,0.9991097,0.9990604495052536
